price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
273972,73.0,4,1,57,12,21,3,0,0,120,4970,1356,1000,2,8,1,0,2,0,1,0,4,0,60,49,50,48,0,0,4,1,6,0,1,0,0,43,6,1,0,0,0,1,0,128,29
272710,58.3,53,10,70,21,446,123,7,1,188,1180,105,600,4,9,11,2,10,3,150,33,5,3,53,67,44,57,142,68,297,79,78,28,1,12,4,976,305,1,0,13,4,5,3,413,66
240384,52.0,3,0,59,20,6,1,0,0,369,4929,1265,1100,6,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,1,0,0,19,3,0,0,0,0,0,0,92,1
223642,62.6,3,0,59,20,6,1,0,0,369,4929,1265,1400,7,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,1,0,0,19,3,0,0,0,0,0,0,92,1
243057,62.8,3,0,59,20,6,1,0,0,369,4929,1265,1100,8,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,1,0,0,19,3,0,0,0,0,0,0,92,1
113556,58.6,16,8,35,11,52,10,0,0,181,5408,2269,1600,4,9,6,1,1,1,3,0,1,0,51,45,41,40,5,1,19,3,9,2,2,0,0,158,35,1,1,9,0,1,0,184,24
280000,54.6,9,0,63,0,43,0,0,0,511,3922,942,700,1,6,1,0,4,0,4,0,2,0,57,0,50,0,9,0,7,0,5,0,1,1,0,100,0,1,0,1,0,0,0,194,0
77142,70.0,6,0,66,18,18,4,1,0,276,7967,1636,3000,4,4,0,0,0,0,0,0,2,1,48,30,44,25,4,0,5,0,4,2,3,0,0,99,32,0,0,14,2,0,0,36,14
242130,41.3,32,11,112,21,219,60,3,1,24,3016,524,400,4,5,5,4,10,5,22,7,9,2,62,65,50,45,28,8,45,8,80,24,1,3,0,491,117,2,0,24,2,0,0,284,121
220000,63.6,3,0,59,20,6,1,0,0,369,4929,1265,1100,5,10,0,0,2,0,0,0,2,1,61,36,52,36,0,0,3,1,6,0,1,0,0,19,3,0,0,0,0,0,0,92,1
118153,65.0,0,0,12,2,4,0,0,0,464,5837,2786,1300,13,24,0,0,0,0,1,0,1,0,58,55,50,55,0,0,2,0,0,0,2,0,0,15,1,0,0,0,0,0,0,19,1
275000,42.3,9,0,63,0,43,0,0,0,511,3922,942,600,1,6,1,0,4,0,4,0,2,0,57,0,50,0,9,0,7,0,5,0,1,1,0,100,0,1,0,1,0,0,0,194,0
300000,50.1,2,1,48,18,20,2,0,0,129,4347,1142,800,3,6,1,0,1,0,0,0,3,0,61,63,50,55,1,0,6,1,5,1,1,0,0,74,5,1,0,0,0,0,0,194,39
72142,70.0,10,0,38,4,33,8,1,0,208,8361,795,800,7,19,0,0,0,0,1,0,0,0,45,46,36,35,3,0,15,5,1,0,3,2,0,157,53,1,0,9,4,0,0,163,81
310000,49.6,2,1,48,18,20,2,0,0,129,4347,1142,800,2,6,1,0,1,0,0,0,3,0,61,63,50,55,1,0,6,1,5,1,1,0,0,74,5,1,0,0,0,0,0,194,39
275000,42.7,9,0,63,0,43,0,0,0,511,3922,942,700,1,6,1,0,4,0,4,0,2,0,57,0,50,0,9,0,7,0,5,0,1,1,0,100,0,1,0,1,0,0,0,194,0
247311,46.5,7,0,22,6,14,1,0,0,322,6791,3561,1100,16,22,2,0,0,0,1,1,0,0,64,52,70,50,1,0,6,0,2,0,1,0,0,46,7,0,0,7,4,0,0,113,18
295454,44.0,23,10,85,30,130,42,1,0,34,3530,708,500,5,7,4,2,6,2,14,5,2,1,59,59,50,50,24,8,54,10,19,4,1,3,0,368,113,2,1,4,0,1,0,252,142
324632,61.3,1,1,35,22,19,6,0,0,165,5785,2157,200,2,7,0,0,1,1,1,0,2,1,52,63,47,60,0,0,0,0,18,2,1,0,0,18,11,1,1,0,0,0,0,44,13
158730,63.0,13,5,37,11,41,9,2,0,244,3344,172,300,3,12,4,1,3,1,10,5,10,3,53,54,47,47,6,1,46,9,5,1,1,3,1,184,56,1,1,2,0,1,1,148,75
300254,39.3,39,10,58,20,320,68,3,1,196,1798,412,600,2,5,9,1,8,1,91,25,5,1,55,50,47,40,84,30,209,52,45,9,1,11,3,830,162,1,1,2,0,3,0,295,68
187065,57.6,20,4,69,27,110,27,1,0,125,3452,723,400,1,3,5,1,6,2,10,4,2,1,58,50,50,40,21,4,51,3,18,2,1,3,0,282,64,2,1,3,1,0,0,250,25
