price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
70833,72.0,2,1,20,4,8,2,1,0,320,5256,586,600,2,10,0,0,2,0,1,0,1,0,44,35,32,33,1,0,1,0,1,0,2,1,0,37,10,1,0,6,0,0,0,33,4
104626,140.5,2,1,35,12,19,5,0,0,221,11240,241,4400,4,9,4,3,0,0,3,1,0,0,34,25,25,25,1,1,5,3,12,5,3,3,2,18,8,0,0,10,0,1,1,13,6
120689,145.0,9,3,34,12,33,8,0,0,123,9475,770,31000,12,18,6,3,1,1,2,0,0,0,42,43,40,47,9,1,4,2,18,8,3,1,0,22,6,0,0,13,6,5,3,94,61
55645,62.0,10,2,14,4,1,0,0,0,363,3865,226,300,5,5,0,0,3,2,1,0,0,0,40,36,35,36,1,0,4,0,5,0,2,1,1,40,10,2,1,4,1,0,0,26,3
63529,85.0,2,1,15,6,7,0,0,0,245,3673,804,2200,4,9,0,0,3,2,1,0,1,1,34,29,28,25,2,1,1,0,4,1,2,1,0,12,1,0,0,8,2,1,0,41,7
166666,111.0,0,0,16,0,8,5,0,0,668,6421,370,700,20,25,3,1,2,1,1,0,0,0,43,36,36,41,2,0,3,1,7,1,3,1,1,17,2,2,0,5,0,0,0,38,6
105384,130.0,11,5,31,9,39,5,0,0,105,8169,556,1300,6,17,3,2,0,0,2,0,1,0,42,30,36,28,8,1,11,2,7,2,3,5,0,34,5,0,0,11,3,4,0,79,9
67109,73.0,4,0,18,0,11,2,0,0,632,5028,622,900,17,17,5,1,4,1,3,3,4,2,42,29,32,22,2,0,5,1,6,0,2,3,0,48,10,0,0,5,0,0,0,30,4
78683,69.9,3,1,13,6,8,7,0,0,145,4488,464,1300,20,24,3,0,3,0,3,2,5,3,44,53,32,48,3,2,3,2,6,1,2,2,1,25,15,0,0,6,3,0,0,27,17
80645,155.0,14,1,46,10,27,3,0,0,278,9175,550,2300,6,8,4,3,1,1,2,0,0,0,42,43,40,45,4,0,4,1,17,4,3,1,0,23,5,0,0,16,4,5,1,115,69
52619,71.0,2,0,12,1,9,0,0,0,489,4470,1114,500,13,26,1,0,2,1,1,0,3,0,43,39,32,39,2,0,3,0,4,1,2,0,0,18,3,0,0,5,0,0,0,28,2
99090,110.0,1,0,9,3,4,1,0,0,304,5015,1425,1200,11,18,1,0,1,0,1,1,2,0,43,37,35,37,0,0,2,0,4,0,3,0,0,13,3,0,0,4,1,0,0,30,2
64781,54.8,1,1,15,8,3,0,1,0,108,3442,759,1300,4,6,2,2,1,0,1,0,1,0,32,48,30,48,1,0,0,0,0,0,2,2,0,28,1,0,0,4,3,0,0,33,1
112149,107.0,11,5,31,9,39,5,0,0,105,8169,556,1300,7,18,3,2,0,0,2,0,1,0,42,30,36,28,8,1,11,2,7,2,3,5,0,34,5,0,0,11,3,4,0,79,9
72413,145.0,1,0,38,9,15,0,0,0,372,9988,940,3300,3,9,2,0,2,1,2,1,0,0,39,29,32,30,3,2,4,1,8,1,3,1,0,14,2,0,0,12,0,0,0,44,3
89552,134.0,1,0,5,0,2,1,0,0,670,5116,1691,1500,4,9,1,0,0,0,1,1,1,0,35,37,36,37,0,0,1,0,1,0,3,0,0,6,2,0,0,1,0,0,0,13,2
101610,118.0,11,3,36,6,45,9,0,0,159,8356,350,1500,2,7,4,2,0,0,2,0,1,0,42,35,37,32,6,0,12,2,7,1,3,4,1,36,5,0,0,12,4,4,0,92,9
